,0
0,A1BG
1,A1BG-AS1
2,A2M
3,A2M-AS1
4,AAAS
5,AACS
6,AAGAB
7,AAK1
8,AAMDC
9,AAMP
10,AAR2
11,AARS
12,AARS2
13,AARSD1
14,AASDH
15,AASDHPPT
16,AASS
17,AATF
18,ABALON
19,ABAT
20,ABCA1
21,ABCA2
22,ABCA3
23,ABCA5
24,ABCA7
25,ABCB1
26,ABCB10
27,ABCB7
28,ABCB8
29,ABCB9
30,ABCC1
31,ABCC10
32,ABCC4
33,ABCC5
34,ABCD1
35,ABCD2
36,ABCD3
37,ABCD4
38,ABCE1
39,ABCF1
40,ABCF2
41,ABCF3
42,ABCG1
43,ABHD10
44,ABHD11
45,ABHD12
46,ABHD13
47,ABHD14A
48,ABHD14B
49,ABHD15
50,ABHD15-AS1
51,ABHD16A
52,ABHD17A
53,ABHD17B
54,ABHD18
55,ABHD2
56,ABHD3
57,ABHD4
58,ABHD5
59,ABHD6
60,ABHD8
61,ABI1
62,ABI2
63,ABI3
64,ABITRAM
65,ABL1
66,ABL2
67,ABLIM1
68,ABR
69,ABRACL
70,ABRAXAS1
71,ABRAXAS2
72,ABT1
73,ABTB1
74,ABTB2
75,AC002306.1
76,AC002310.1
77,AC002331.1
78,AC002460.2
79,AC002463.1
80,AC002467.1
81,AC004241.1
82,AC004551.1
83,AC004556.3
84,AC004585.1
85,AC004687.1
86,AC004797.1
87,AC004812.2
88,AC004817.3
89,AC004832.6
90,AC004854.2
91,AC004865.2
92,AC004974.1
93,AC005037.1
94,AC005041.5
95,AC005052.2
96,AC005070.3
97,AC005261.1
98,AC005264.1
99,AC005332.1
100,AC005332.4
101,AC005363.2
102,AC005480.1
103,AC005520.2
104,AC005540.1
105,AC005562.1
106,AC005670.3
107,AC005837.1
108,AC005842.1
109,AC005920.2
110,AC005944.1
111,AC006001.2
112,AC006059.1
113,AC006064.2
114,AC006064.4
115,AC006141.1
116,AC006207.1
117,AC006299.1
118,AC006333.2
119,AC006369.1
120,AC006449.6
121,AC006460.2
122,AC006504.5
123,AC006511.6
124,AC006581.1
125,AC006942.1
126,AC006994.2
127,AC007032.1
128,AC007114.1
129,AC007163.1
130,AC007216.4
131,AC007383.2
132,AC007384.1
133,AC007448.4
134,AC007513.1
135,AC007541.1
136,AC007569.1
137,AC007613.1
138,AC007619.1
139,AC007728.2
140,AC007780.1
141,AC007952.4
142,AC008014.1
143,AC008040.1
144,AC008063.1
145,AC008074.2
146,AC008083.3
147,AC008105.3
148,AC008124.1
149,AC008267.5
150,AC008378.1
151,AC008397.1
152,AC008438.1
153,AC008440.1
154,AC008443.1
155,AC008443.5
156,AC008549.2
157,AC008555.4
158,AC008569.1
159,AC008610.1
160,AC008696.2
161,AC008735.2
162,AC008764.8
163,AC008771.1
164,AC008875.2
165,AC008875.3
166,AC008892.1
167,AC008897.2
168,AC008937.2
169,AC008969.1
170,AC009053.2
171,AC009061.2
172,AC009093.2
173,AC009113.1
174,AC009120.2
175,AC009126.1
176,AC009133.1
177,AC009133.3
178,AC009185.1
179,AC009226.1
180,AC009299.3
181,AC009303.2
182,AC009313.1
183,AC009403.1
184,AC009486.2
185,AC009522.1
186,AC009630.1
187,AC009779.2
188,AC009812.1
189,AC009831.1
190,AC009879.4
191,AC009951.5
192,AC009961.1
193,AC010275.1
194,AC010609.1
195,AC010642.2
196,AC010654.1
197,AC010754.1
198,AC010883.3
199,AC010894.3
200,AC011247.1
201,AC011287.1
202,AC011346.1
203,AC011444.3
204,AC011446.2
205,AC011447.3
206,AC011450.1
207,AC011462.5
208,AC011476.3
209,AC011498.1
210,AC011511.2
211,AC011603.2
212,AC011611.3
213,AC011933.4
214,AC011997.1
215,AC012146.1
216,AC012306.2
217,AC012358.3
218,AC012360.3
219,AC012368.1
220,AC012447.1
221,AC012615.1
222,AC012640.2
223,AC012645.3
224,AC013264.1
225,AC013400.1
