,0
0,A1BG
1,A1BG-AS1
2,A2M
3,A2M-AS1
4,AAAS
5,AACS
6,AAGAB
7,AAK1
8,AAMDC
9,AAMP
10,AAR2
11,AARS
12,AARS2
13,AARSD1
14,AASDH
15,AASDHPPT
16,AATF
17,ABALON
18,ABAT
19,ABCA1
20,ABCA2
21,ABCA3
22,ABCA5
23,ABCA7
24,ABCB1
25,ABCB10
26,ABCB7
27,ABCB8
28,ABCB9
29,ABCC1
30,ABCC10
31,ABCC11
32,ABCC4
33,ABCC5
34,ABCD1
35,ABCD2
36,ABCD3
37,ABCD4
38,ABCE1
39,ABCF1
40,ABCF2
41,ABCF3
42,ABCG1
43,ABHD10
44,ABHD11
45,ABHD12
46,ABHD13
47,ABHD14A
48,ABHD14B
49,ABHD15
50,ABHD15-AS1
51,ABHD16A
52,ABHD17A
53,ABHD17B
54,ABHD18
55,ABHD2
56,ABHD3
57,ABHD4
58,ABHD5
59,ABHD6
60,ABHD8
61,ABI1
62,ABI2
63,ABI3
64,ABITRAM
65,ABL1
66,ABL2
67,ABLIM1
68,ABR
69,ABRACL
70,ABRAXAS1
71,ABRAXAS2
72,ABT1
73,ABTB1
74,ABTB2
75,AC002116.2
76,AC002306.1
77,AC002310.1
78,AC002331.1
79,AC002460.2
80,AC002463.1
81,AC002467.1
82,AC004241.1
83,AC004551.1
84,AC004556.3
85,AC004585.1
86,AC004596.1
87,AC004687.1
88,AC004797.1
89,AC004812.2
90,AC004817.3
91,AC004832.6
92,AC004837.4
93,AC004854.2
94,AC004865.2
95,AC004938.2
96,AC004974.1
97,AC005037.1
98,AC005041.5
99,AC005052.2
100,AC005070.3
101,AC005083.1
102,AC005225.2
103,AC005237.1
104,AC005261.1
105,AC005264.1
106,AC005332.1
107,AC005332.4
108,AC005363.2
109,AC005476.2
110,AC005480.1
111,AC005520.2
112,AC005540.1
113,AC005562.1
114,AC005670.3
115,AC005837.1
116,AC005842.1
117,AC005899.8
118,AC005920.2
119,AC005944.1
120,AC006001.2
121,AC006059.1
122,AC006064.2
123,AC006064.4
124,AC006207.1
125,AC006333.2
126,AC006369.1
127,AC006449.6
128,AC006460.2
129,AC006504.5
130,AC006511.6
131,AC006581.1
132,AC006942.1
133,AC006994.2
134,AC007032.1
135,AC007114.1
136,AC007163.1
137,AC007216.4
138,AC007383.2
139,AC007384.1
140,AC007448.4
141,AC007448.5
142,AC007513.1
143,AC007541.1
144,AC007569.1
145,AC007613.1
146,AC007619.1
147,AC007622.2
148,AC007728.2
149,AC007780.1
150,AC007952.4
151,AC008014.1
152,AC008063.1
153,AC008074.2
154,AC008083.3
155,AC008105.3
156,AC008124.1
157,AC008267.5
158,AC008378.1
159,AC008438.1
160,AC008440.1
161,AC008443.1
162,AC008443.5
163,AC008537.4
164,AC008549.2
165,AC008555.4
166,AC008569.1
167,AC008608.2
168,AC008610.1
169,AC008629.1
170,AC008696.2
171,AC008735.2
172,AC008764.8
173,AC008875.2
174,AC008875.3
175,AC008892.1
176,AC008897.2
177,AC008937.2
178,AC008969.1
179,AC009005.1
180,AC009041.2
181,AC009053.2
182,AC009061.2
183,AC009093.2
184,AC009113.1
185,AC009120.2
186,AC009126.1
187,AC009133.1
188,AC009133.3
189,AC009185.1
190,AC009226.1
191,AC009299.3
192,AC009303.2
193,AC009309.1
194,AC009313.1
195,AC009403.1
196,AC009486.2
197,AC009522.1
198,AC009630.1
199,AC009690.2
200,AC009754.2
201,AC009779.2
202,AC009812.1
203,AC009831.1
204,AC009879.4
205,AC009961.1
206,AC010149.1
207,AC010226.1
208,AC010247.1
209,AC010275.1
210,AC010609.1
211,AC010618.3
212,AC010642.2
213,AC010654.1
214,AC010754.1
215,AC010883.3
216,AC010894.3
217,AC010978.1
218,AC011247.1
219,AC011287.1
220,AC011346.1
221,AC011444.1
222,AC011444.3
223,AC011446.2
224,AC011447.3
225,AC011450.1
